code,text
01.14.00,"Attività: Coltivazione di canna da zucchero

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Coltivazione di canna da zucchero"
01.15.00,"Attività: Coltivazione di tabacco

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Coltivazione di tabacco"
01.16.00,"Attività: Coltivazione di piante per la preparazione di fibre tessili

Questa attività **include**:
- coltivazione di cotone
- coltivazione di iuta, kenaf e altre fibre tessili
- coltivazione di lino e canapa
- coltivazione di agave sisalana e altre fibre tessili di genus agave
- coltivazione di abaca, ramia e altre fibre tessili vegetali
- coltivazione di altre piante tessili
- macerazione di piante che producono fibre tessili vegetali

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Coltivazione di piante tessili > Coltivazione di piante per la preparazione di fibre tessili"
01.19.10,"Attività: Coltivazione di fiori in piena aria

Questa attività **include**:
- coltivazione di fiori
- produzione di sementi per fiori
- produzione di fiori recisi

Questa attività **esclude**:
- coltivazione di mais, cfr. 01.11
- coltivazione di granoturco dolce, cfr. 01.13
- coltivazione di luppolo, cfr. 01.28
- coltivazione di spezie, piante aromatiche e medicamentose non permanenti, cfr. 01.28
- produzione di piante ornamentali e piantine per fiori, cfr. 01.30
- produzione di semi di barbabietola da zucchero, cfr. 01.13

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Floricoltura e coltivazione di altre colture non permanenti > Coltivazione di fiori in piena aria"
01.19.21,"Attività: Coltivazione di fiori in colture protette fuori suolo

Questa attività **include**:
- coltivazione fuori suolo (inclusa coltivazione idroponica e acquaponica) di fiori
- produzione fuori suolo (inclusa coltivazione idroponica e acquaponica) di sementi per fiori
- produzione fuori suolo (inclusa coltivazione idroponica e acquaponica) di fiori recisi

Questa attività **esclude**:
- coltivazione di mais, cfr. 01.11
- coltivazione di granoturco dolce, cfr. 01.13
- coltivazione di luppolo, cfr. 01.28
- coltivazione di spezie, piante aromatiche e medicamentose non permanenti, cfr. 01.28
- produzione di piante ornamentali e piantine per fiori, cfr. 01.30
- produzione di semi di barbabietola da zucchero, cfr. 01.13

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Floricoltura e coltivazione di altre colture non permanenti > Coltivazione di fiori in colture protette > Coltivazione di fiori in colture protette fuori suolo"
01.19.29,"Attività: Coltivazione di fiori in colture protette ad esclusione delle colture fuori suolo

Questa attività **include**:
- coltivazione convenzionale di fiori
- produzione convenzionale di sementi per fiori
- produzione convenzionale di fiori recisi

Questa attività **esclude**:
- coltivazione di mais, cfr. 01.11
- coltivazione di granoturco dolce, cfr. 01.13
- coltivazione di luppolo, cfr. 01.28
- coltivazione di spezie, piante aromatiche e medicamentose non permanenti, cfr. 01.28
- produzione di piante ornamentali e piantine per fiori, cfr. 01.30
- produzione di semi di barbabietola da zucchero, cfr. 01.13

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Floricoltura e coltivazione di altre colture non permanenti > Coltivazione di fiori in colture protette > Coltivazione di fiori in colture protette ad esclusione delle colture fuori suolo"
01.19.90,"Attività: Coltivazione di piante da foraggio e di altre colture non permanenti

Questa attività **include**:
- coltivazione di navone, barbabietola da foraggio, tuberi da foraggio, trifoglio, erba medica, cedrangola, mais da foraggio, ravizzone e altri prodotti foraggeri simili
- produzione di semi di barbabietola (esclusi quelli di barbabietola da zucchero) e semi di piante foraggere

Questa attività **esclude**:
- coltivazione di mais, cfr. 01.11
- coltivazione di granoturco dolce, cfr. 01.13
- coltivazione di luppolo, cfr. 01.28
- coltivazione di spezie, piante aromatiche e medicamentose non permanenti, cfr. 01.28
- produzione di piante ornamentali e piantine per fiori, cfr. 01.30
- produzione di semi di barbabietola da zucchero, cfr. 01.13

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Floricoltura e coltivazione di altre colture non permanenti > Coltivazione di piante da foraggio e di altre colture non permanenti"
01.21.00,"Attività: Coltivazione di uva

Questa attività **include**:
- coltivazione di uva da vino e da tavola in vigneti
- produzione di vino da uve prevalentemente di produzione propria

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture permanenti > Coltivazione di uva"
01.22.00,"Attività: Coltivazione di frutta di origine tropicale e subtropicale

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture permanenti > Coltivazione di frutta di origine tropicale e subtropicale"
01.23.00,"Attività: Coltivazione di agrumi

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture permanenti > Coltivazione di agrumi"
01.24.00,"Attività: Coltivazione di pomacee e frutta a nocciolo

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture permanenti > Coltivazione di pomacee e frutta a nocciolo"
01.25.00,"Attività: Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio

Questa attività **include**:
- coltivazione di bacche: mirtilli, ribes, uva spina, kiwi, lamponi, fragole, altre bacche
- produzione di sementi da frutta
- coltivazione di frutta in guscio commestibile: mandorle, anacardi, castagne, nocciole, pistacchi, noci, altra frutta in guscio
- coltivazione di carrubo, cachi, melograno
- coltivazione di altri alberi da frutta o frutti di bosco

Questa attività **esclude**:
- coltivazione di noci di cocco, cfr. 01.26
- raccolta di frutti di bosco e frutta in guscio commestibili selvatici, cfr. 02.30

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture permanenti > Coltivazione di altri alberi da frutta, frutti di bosco e in guscio > Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio"
01.26.00,"Attività: Coltivazione di frutti oleosi

Questa attività **include**:
- coltivazione di frutti oleosi: noci di cocco, olive, palme da olio, altri frutti oleosi
- produzione di olio di pressione da olive prevalentemente di produzione propria

Questa attività **esclude**:
- coltivazione di semi di soia, arachidi e altre piante oleaginose, cfr. 01.11
- produzione di olio di pressione di olive prevalentemente non di produzione propria, cfr. 10.41

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture permanenti > Coltivazione di frutti oleosi"
01.27.00,"Attività: Coltivazione di piante per la produzione di bevande

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture permanenti > Coltivazione di piante per la produzione di bevande"
01.28.00,"Attività: Coltivazione di spezie, piante aromatiche e farmaceutiche

Questa attività **include**:
- coltivazione di spezie e piante aromatiche permanenti e non: pepe, peperoncino, noce moscata, macis e cardamomo, anice, badiana, finocchiella, cannella, chiodo di garofano, zenzero, vaniglia, basilico, prezzemolo, cerfoglio, dragoncello, maggiorana, cumino, origano, rosmarino, salvia, coriandolo, alloro, luppolo, altre spezie e piante aromatiche
- coltivazione di piante utilizzate principalmente per prodotti farmaceutici o per insetticidi, fungicidi e simili
- coltivazione di colture per farmaci e narcotici

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture permanenti > Coltivazione di spezie, piante aromatiche e farmaceutiche"
01.29.00,"Attività: Coltivazione di altre colture permanenti (inclusi alberi di Natale)

Questa attività **include**:
- coltivazione di alberi da gomma per la raccolta del lattice
- coltivazione di alberi di Natale
- coltivazione di alberi per l'estrazione di linfa
- coltivazione di piante utilizzate principalmente come materiali da intreccio

Questa attività **esclude**:
- coltivazione di fiori, produzione di fiori recisi, produzione di sementi per fiori, cfr. 01.19
- raccolta di linfa o gomma nelle foreste, cfr. 02.30

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture permanenti > Coltivazione di altre colture permanenti (inclusi alberi di natale) > Coltivazione di altre colture permanenti (inclusi alberi di Natale)"
01.30.00,"Attività: Riproduzione delle piante

Questa attività **include**:
- coltivazione di piante per piantagioni
- coltivazione di piante per scopi ornamentali, incluse le zolle per il trapianto
- coltivazione di piante da bulbo, tuberi e radici; talee e innesti; miceli
- produzione di substrato per funghi
- produzione di piantine di fiori e ortaggi
- gestione di vivai di colture legnose (esclusi quelli per la silvicoltura)

Questa attività **esclude**:
- coltivazione di piante con il fine della produzione di sementi, cfr. 01.1, 01.2
- attività vivaistiche per la silvicoltura, cfr. 02.10

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Riproduzione delle piante"
01.41.00,"Attività: Allevamento di bovini e bufale da latte, produzione di latte crudo

Questa attività **include**:
- allevamento e riproduzione di bovini e bufale da latte
- produzione di latte crudo di vacca o bufala
- produzioni lattiero-casearie da latte di vacca o bufale prevalentemente di produzione propria

Questa attività **esclude**:
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame proveniente dai macelli, cfr. 10.11
- presa in pensione e cura del bestiame per conto terzi, cfr. 01.62
- lavorazione del latte all'esterno dell'azienda, cfr. 10.51

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Allevamento di animali > Allevamento di bovini da latte > Allevamento di bovini e bufale da latte, produzione di latte crudo"
01.42.00,"Attività: Allevamento di bovini e bufalini da carne

Questa attività **include**:
- allevamento e riproduzione di bovini e bufalini da carne
- produzione di seme bovino

Questa attività **esclude**:
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame proveniente dai macelli, cfr. 10.11
- presa in pensione e cura del bestiame per conto terzi, cfr. 01.62

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Allevamento di animali > Allevamento di altri bovini e di bufalini > Allevamento di bovini e bufalini da carne"
01.43.00,"Attività: Allevamento di cavalli e altri equini

Questa attività **esclude**:
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame proveniente dai macelli, cfr. 10.11
- presa in pensione e cura del bestiame per conto terzi, cfr. 01.62
- gestione di scuderie di cavalli da corsa, cfr. 93.19
- corsi o scuole di equitazione, cfr. 85.51

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Allevamento di animali > Allevamento di cavalli e altri equini"
01.44.00,"Attività: Allevamento di cammelli e camelidi

Questa attività **esclude**:
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame proveniente dai macelli, cfr. 10.11

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Allevamento di animali > Allevamento di cammelli e camelidi"
01.45.00,"Attività: Allevamento di ovini e caprini

Questa attività **include**:
- allevamento e riproduzione di pecore e capre
- produzione di latte crudo di pecora o capra
- produzione di lana grezza
- produzioni lattiero-casearie da latte di pecora o capra prevalentemente di produzione propria

Questa attività **esclude**:
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame proveniente dai macelli, cfr. 10.11
- tosatura delle pecore per conto terzi, cfr. 01.62
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di lana da slanatura, cfr. 10.11
- produzioni lattiero-casearie da latte prevalentemente non di produzione propria, cfr. 10.51

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Allevamento di animali > Allevamento di ovini e caprini"
01.46.00,"Attività: Allevamento di suini

Questa attività **esclude**:
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame proveniente dai macelli, cfr. 10.11

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Allevamento di animali > Allevamento di suini"
01.47.00,"Attività: Allevamento di pollame

Questa attività **include**:
- allevamento e riproduzione di pollame: polli da carne, galline da uova, tacchini, anatre, oche e faraone
- produzione di uova di pollame
- gestione di incubatoi industriali per pollame

Questa attività **esclude**:
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame proveniente dai macelli, cfr. 10.11
- allevamento di struzzi, fagiani, pernici, quaglie, cfr. 01.49
- produzione di piume, cfr. 10.12

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Allevamento di animali > Allevamento di pollame"
01.49.10,"Attività: Allevamento di conigli

Questa attività **esclude**:
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame proveniente dai macelli, cfr. 10.11
- allevamento e riproduzione di pollame, cfr. 01.47
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame grezzo derivante da caccia o cattura, cfr. 01.70
- attività di vivai di rane, coccodrilli, vermi marini, cfr. 03.21, 03.22
- attività di vivai di pesci, cfr. 03.21, 03.22
- produzione di pellame proveniente dai macelli, cfr. 10.11
- addestramento degli animali da compagnia, cfr. 96.09

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Allevamento di animali > Allevamento di altri animali > Allevamento di conigli"
01.49.20,"Attività: Allevamento di animali da pelliccia

Questa attività **esclude**:
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame proveniente dai macelli, cfr. 10.11
- allevamento e riproduzione di pollame, cfr. 01.47
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame grezzo derivante da caccia o cattura, cfr. 01.70
- attività di vivai di rane, coccodrilli, vermi marini, cfr. 03.21, 03.22
- attività di vivai di pesci, cfr. 03.21, 03.22
- produzione di pellame proveniente dai macelli, cfr. 10.11
- addestramento degli animali da compagnia, cfr. 96.09

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Allevamento di animali > Allevamento di altri animali > Allevamento di animali da pelliccia"
01.49.30,"Attività: Apicoltura

Questa attività **esclude**:
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame proveniente dai macelli, cfr. 10.11
- allevamento e riproduzione di pollame, cfr. 01.47
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame grezzo derivante da caccia o cattura, cfr. 01.70
- attività di vivai di rane, coccodrilli, vermi marini, cfr. 03.21, 03.22
- attività di vivai di pesci, cfr. 03.21, 03.22
- produzione di pellame proveniente dai macelli, cfr. 10.11
- addestramento degli animali da compagnia, cfr. 96.09

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Allevamento di animali > Allevamento di altri animali > Apicoltura"
01.49.40,"Attività: Bachicoltura

Questa attività **esclude**:
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame proveniente dai macelli, cfr. 10.11
- allevamento e riproduzione di pollame, cfr. 01.47
- gestione e cura del bestiame per conto terzi, cfr. 01.62
- produzione di pellame grezzo derivante da caccia o cattura, cfr. 01.70
- attività di vivai di rane, coccodrilli, vermi marini, cfr. 03.21, 03.22
- attività di vivai di pesci, cfr. 03.21, 03.22
- produzione di pellame proveniente dai macelli, cfr. 10.11
- addestramento degli animali da compagnia, cfr. 96.09

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Allevamento di animali > Allevamento di altri animali > Bachicoltura"
